title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count
Beowulf,2007-11-05,,70000000,195735876,35.601665,5.5,841
Mission: Impossible - Ghost Protocol,2011-12-07,,145000000,694713380,77.77477,6.8,3972
Exodus: Gods and Kings,2014-12-03,,140000000,268031828,101.599427,5.6,1921
Star Trek,2009-05-06,,150000000,385680446,73.616808,7.4,4518
Spider-Man,2002-05-01,,139000000,821708551,82.502566,6.8,5265
Watchmen,2009-03-05,,130000000,185258983,64.798873,7,2811
Lethal Weapon 4,1998-07-10,,140000000,285444603,24.855701,6.3,767
Sahara,2005-04-06,,130000000,119269486,21.605568,5.7,434
Final Fantasy: The Spirits Within,2001-07-02,,137000000,85131830,26.074908,5.9,433
Master and Commander: The Far Side of the World,2003-11-14,,150000000,212011111,36.973031,6.9,790
The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,,120000000,829000000,99.687084,6.1,2553
Happy Feet Two,2011-11-17,,130000000,150406466,17.7735,5.8,373
The BFG,2016-06-01,,140000000,183345589,44.19092,6,1000
Penguins of Madagascar,2014-11-22,,132000000,373552094,84.366984,6.5,1346
Ant-Man,2015-07-14,,130000000,519311965,120.09361,7,5880
Bad Boys II,2003-07-18,,130000000,273339556,38.068736,6.3,1564
Puss in Boots,2011-10-28,,130000000,554987477,20.678787,6.4,451
Noah,2014-03-20,,125000000,362637473,46.115758,5.6,2350
Harry Potter and the Prisoner of Azkaban,2004-05-31,,130000000,789804554,79.679601,7.7,5877
Night at the Museum: Secret of the Tomb,2014-12-17,,127000000,349424282,115.597753,6.1,1851
Megamind,2010-10-28,,130000000,321887208,68.757242,6.7,1918
Harry Potter and the Philosopher's Stone,2001-11-16,,125000000,976475550,109.984351,7.5,7006
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,,140000000,655011224,271.972889,7.5,6985
The Hunger Games: Mockingjay - Part 1,2014-11-18,,125000000,752100229,206.227151,6.6,5584
The Da Vinci Code,2006-05-17,,125000000,767820459,45.313197,6.5,2704
X2,2003-04-24,,110000000,407711549,2.871739,6.8,3506
Fast Five,2011-04-20,,125000000,626137675,7.255718,7.1,2438
Sherlock Holmes: A Game of Shadows,2011-11-22,,125000000,334615000,81.499621,7,3886
Clash of the Titans,2010-04-01,,125000000,232713139,47.686442,5.6,2233
The Bourne Legacy,2012-08-08,,130000000,276572938,90.33681,6,2651
How the Grinch Stole Christmas,2000-11-17,,123000000,345141403,45.419668,6.2,1386
The Day After Tomorrow,2004-05-26,,125000000,544272402,41.380094,6.2,2392
The Perfect Storm,2000-03-15,,120000000,325756637,25.752118,6.2,597
Fantastic 4: Rise of the Silver Surfer,2007-06-13,,130000000,289047763,60.810723,5.4,2589
Life of Pi,2012-11-20,,120000000,609016565,51.328145,7.2,5797
Ghost Rider,2007-02-16,,110000000,228738393,46.834704,5.2,1712
Jason Bourne,2016-07-27,,120000000,415484914,62.641286,5.9,2341
Charlie's Angels: Full Throttle,2003-06-27,,120000000,259175788,33.616115,5.2,914
Prometheus,2012-05-30,,130000000,403170142,68.889395,6.3,5080
Stuart Little 2,2002-07-19,,120000000,169956806,27.990284,5.4,613
How Do You Know,2010-12-17,,120000000,48668907,11.137655,4.9,223
Knight and Day,2010-06-15,,117000000,261930431,44.906918,5.9,1547
Oblivion,2013-04-10,,120000000,286168572,67.698004,6.4,4800
Star Wars: Episode III - Revenge of the Sith,2005-05-17,,113000000,850000000,44.108427,7.1,4116
"Monsters, Inc.",2001-11-01,,115000000,562816256,106.815545,7.5,5996
The Wolverine,2013-07-23,,120000000,415440673,15.953444,6.3,4053
The Croods,2013-03-20,,135000000,585178928,64.183321,6.8,2399
Asterix at the Olympic Games,2008-01-13,,97250400,132900000,20.344364,5,471
The Huntsman: Winter's War,2016-04-06,,115000000,164602163,60.467984,6,1523
Teenage Mutant Ninja Turtles,2014-08-07,,125000000,477200000,143.350376,5.8,2636
Fantastic Four,2015-08-05,,120000000,167977596,38.126095,4.4,2278
Night at the Museum,2006-10-20,,110000000,574480841,48.780039,6.3,2862
San Andreas,2015-05-27,,110000000,470490832,100.412364,6,2968
Tomorrow Never Dies,1997-12-11,,110000000,333011068,42.887121,6,925
Ocean's Twelve,2004-12-09,,110000000,362744280,76.840712,6.4,2124
Mr. & Mrs. Smith,2005-06-07,,110000000,478207520,44.635452,6.5,2965
Gulliver's Travels,2010-12-25,,112000000,237382724,22.845143,4.9,621
The Smurfs,2011-07-29,,110000000,563749323,36.65422,5.5,1179
Allegiant,2016-03-09,,110000000,179246868,86.105615,5.9,1998
The Smurfs 2,2013-07-30,,105000000,347434178,32.473628,5.5,695
Live Free or Die Hard,2007-06-20,,110000000,383531464,48.93337,6.4,2089
Around the World in 80 Days,2004-06-16,,110000000,72178895,22.643776,5.7,672
The Cat in the Hat,2003-11-21,,0,0,18.251129,4.9,366
The Princess and the Frog,2009-12-08,,105000000,267045765,62.479574,6.7,1247
The Martian,2015-09-30,,108000000,630161890,167.93287,7.6,7268
Town & Country,2001-04-27,,90000000,10372291,1.004579,3.7,16
Gone in Sixty Seconds,2000-06-09,,90000000,237202299,52.995628,6.1,1485
Minority Report,2002-06-20,,102000000,358372926,65.948959,7.1,2608
Casino Royale,2006-11-14,,150000000,599045960,88.935165,7.3,3855
Terminator 2: Judgment Day,1991-07-01,,100000000,520000000,101.74155,7.7,4185
Public Enemies,2009-07-01,,80000000,214104620,33.691694,6.5,1344
The Other Guys,2010-08-06,,100000000,170432927,24.399642,6.1,1383
The Expendables 2,2012-08-08,,100000000,312573423,53.732892,6.1,2896
Eragon,2006-12-14,,100000000,249288105,30.863434,4.9,967
Epic,2013-05-15,,100000000,268426634,36.711378,6.4,1121
The Tourist,2010-12-08,,100000000,278731369,41.426678,6,1699
Blood Diamond,2006-12-07,,100000000,170877916,52.792678,7.3,2281
Cloud Atlas,2012-10-26,,102000000,130482868,73.872343,6.6,2977
Point Break,2015-12-03,,105000000,133718711,33.507289,5.5,783
The Adventures of Pluto Nash,2002-08-15,,100000000,7103973,12.092241,4.4,142
Green Zone,2010-03-11,,100000000,94882889,30.254021,6.4,717
The Peanuts Movie,2015-11-05,,99000000,246233113,34.308098,6.5,604
The Spanish Prisoner,1997-09-08,,10000000,13835130,3.091077,7.1,73
The Mummy Returns,2001-04-28,,98000000,433013274,41.862983,6,2206
Gangs of New York,2002-12-14,,100000000,193772504,46.160048,7.1,1910
The Flowers of War,2011-12-15,,94000000,95311434,12.516546,7.1,187
The Campaign,2012-08-09,,0,104907746,16.460356,5.6,578
Sex and the City 2,2010-05-26,,100000000,288347692,18.325897,5.4,426
The Lovely Bones,2009-12-26,,65000000,93525586,29.257137,6.6,1065
The Lord of the Rings: The Two Towers,2002-12-18,,79000000,926287400,106.914973,8,7487
Transcendence,2014-04-16,,100000000,103039258,58.991388,5.9,2295
Jurassic Park III,2001-07-18,,93000000,368780809,1.859364,5.7,2077
The Spiderwick Chronicles,2008-02-14,,90000000,162839667,21.436682,6.3,572
Men in Black,1997-07-02,,90000000,589390539,104.121555,6.9,4412
Unstoppable,2010-11-04,,100000000,167805466,37.698465,6.3,1165
What Lies Beneath,2000-07-21,,100000000,155464351,15.835672,6.3,488
The Secret Life of Walter Mitty,2013-12-18,,90000000,188133322,43.348022,7,3144
Charlie's Angels,2000-11-02,,92000000,264105545,40.20395,5.6,1232
The Departed,2006-10-05,,90000000,289847354,63.429157,7.9,4339
Mulan,1998-06-18,,90000000,304320254,67.427755,7.6,2008
Sherlock Holmes,2009-12-23,,90000000,524028679,57.834787,7,5766
Ben-Hur,2016-08-17,,100000000,94061311,29.608322,5.3,621
Atlantis: The Lost Empire,2001-06-02,,120000000,186053725,51.548589,6.7,1224
Pixels,2015-07-16,,88000000,243637091,140.849495,5.6,2513
The Haunted Mansion,2003-11-25,,90000000,182290266,16.302378,5.2,466
Hollow Man,2000-08-04,,95000000,190213455,28.200874,5.6,634
The Interpreter,2005-04-08,,80000000,162944923,18.69984,6.2,392
Percy Jackson: Sea of Monsters,2013-08-07,,90000000,174578751,40.262261,5.9,1648
Lara Croft Tomb Raider: The Cradle of Life,2003-07-21,,95000000,156505388,56.811056,5.5,1418
Now You See Me 2,2016-06-02,,90000000,334901337,51.535701,6.7,3235
Spy Game,2001-11-18,,92000000,143049560,27.166757,6.8,579
Volcano,1997-04-25,,90000000,0,19.836124,5.2,376
The Devil's Own,1997-03-12,,90000000,140807547,15.350451,5.9,290
Conan the Barbarian,1982-04-02,,20000000,79114085,31.802807,6.6,650
Cinderella Man,2005-06-02,,88000000,108539911,24.100863,7.3,616
Seabiscuit,2003-07-22,,87000000,148336445,14.824166,6.7,216
Cast Away,2000-12-22,,90000000,429632142,57.739713,7.5,3218
Happy Feet,2006-11-16,,100000000,384335608,37.272385,5.9,1410
Air Force One,1997-07-25,,85000000,315156409,36.38795,6.2,840
The Three Musketeers,2011-08-31,,75000000,132274484,36.605246,5.6,924
Safe House,2012-02-09,,85000000,208076205,34.773106,6.3,1345
102 Dalmatians,2000-10-07,,85000000,183611771,9.895061,5.1,313
Tower Heist,2011-11-02,,75000000,152930623,36.743324,5.8,932
The Holiday,2006-12-08,,85000000,194168700,44.967453,6.7,1225
Enemy of the State,1998-11-20,,90000000,250649836,41.207568,6.7,1240
Ocean's Thirteen,2007-06-07,,85000000,311312624,42.069993,6.5,1999
Open Season,2006-09-29,,85000000,197309027,26.61951,6.1,656
Memoirs of a Geisha,2005-12-06,,85000000,162242962,16.595874,7.3,652
The Fast and the Furious: Tokyo Drift,2006-06-03,,85000000,158468292,8.282876,6.1,1705
Meet Joe Black,1998-11-12,,90000000,142940100,36.069611,6.9,1147
The Core,2003-03-28,,60000000,74208267,29.211255,5.4,516
Click,2006-06-22,,82500000,237681299,41.176631,6,2104
Creepshow,1982-11-12,,8000000,21028755,13.661289,6.7,226
Cats & Dogs 2 : The Revenge of Kitty Galore,2010-07-30,,85000000,112483764,11.77398,4.9,119
Jumper,2008-02-10,,85000000,222231186,21.218,5.9,1799
Hellboy II: The Golden Army,2008-07-11,,85000000,160388063,58.57976,6.5,1527
Bruce Almighty,2003-05-23,,80000000,484572835,109.684788,6.4,3012
The Expendables,2010-08-03,,80000000,274470394,77.580661,6,2926
The Hunger Games,2012-03-12,,75000000,691210692,68.550698,6.9,9455
Batman Returns,1992-06-19,,80000000,280000000,59.113174,6.6,1673
Over the Hedge,2006-04-22,,80000000,343397247,36.32705,6.3,1074
The Longest Yard,2005-05-19,,82000000,190320568,26.065735,6.2,785
Grown Ups 2,2013-07-11,,80000000,246984278,45.589568,5.8,1155
Something's Gotta Give,2003-12-12,,80000000,266728738,16.939441,6.3,410
Robots,2005-03-10,,75000000,260696994,29.558157,6,1333
Con Air,1997-06-01,,75000000,224012234,45.154631,6.5,1270
Flubber,1997-11-26,,80000000,177977226,11.50396,5.3,695
The Haunting,1999-07-23,,80000000,91188905,19.375768,5.2,369
The Pink Panther,2006-01-18,,0,0,25.450534,5.6,550
Conspiracy Theory,1997-08-07,,75000000,136982834,22.179658,6.5,431
Fury,2014-10-15,,68000000,211817906,139.575085,7.4,3946
Yogi Bear,2010-12-11,,80000000,201584141,11.187696,5.2,220
Spirit: Stallion of the Cimarron,2002-05-24,,80000000,122563539,41.670544,7.4,831
Zookeeper,2011-07-06,,80000000,169852759,27.46264,5.3,498
The Manchurian Candidate,2004-07-30,,80000000,96105964,21.394281,6.2,393
Fantasia 2000,1999-12-17,,80000000,90874570,14.530946,7,292
The Time Machine,2002-03-04,,80000000,123729176,25.978555,5.8,631
Swordfish,2001-06-07,,102000000,147080413,36.788745,6.1,932
What Dreams May Come,1998-10-02,,85000000,71485043,21.891078,6.8,577
The Brothers Grimm,2005-08-26,,88000000,105316267,40.138009,5.6,818
Surrogates,2009-09-24,,80000000,122444772,36.664991,5.9,1195
Thirteen Days,2000-12-24,,80000000,34566746,18.26121,6.9,189
Walking With Dinosaurs,2013-12-18,,80000000,126546518,10.088006,5.2,133
Looney Tunes: Back in Action,2003-11-14,,80000000,68514844,16.715631,5.6,
Nine,2009-12-03,,80000000,53825515,9.357734,5.1,
Timeline,2003-11-26,,80000000,19480739,11.22268,5.4,
Babe: Pig in the City,1998-11-25,,90000000,69131860,11.356079,5.2,
The Last Witch Hunter,2015-10-21,,90000000,146936910,52.612025,5.7,
Red Planet,2000-11-10,,80000000,33463969,13.800656,5.4,
Arthur and the Invisibles,2006-12-13,,86000000,107944236,27.097932,6,
Oceans,2009-10-17,,0,19406406,10.706613,7.3,
Top Cat Begins,2015-10-30,,8000000,0,0.719996,5.3,
A Beautiful Mind,2001-12-11,,60000000,313542341,59.248437,7.7,
Hidalgo,2004-03-05,,100000000,108103450,16.759252,6.5,
2 Fast 2 Furious,2003-06-05,,76000000,236350661,10.520961,6.2,
The Secret Life of Pets,2016-06-18,,75000000,875958308,31.482872,5.9,
The Lost World: Jurassic Park,1997-05-23,,73000000,229074524,2.502487,6.2,
Children of Men,2006-09-22,,76000000,69959751,35.387874,7.4,
The Rock,1996-06-06,,75000000,335062621,51.469576,6.9,
Hairspray,2007-07-13,,50000000,90450008,31.160542,6.5,
Exorcist: The Beginning,2004-08-20,114,80000000,78000586,15.761384,4.7,
Inspector Gadget,1999-07-23,78,75000000,0,17.561955,4.3,
Now You See Me,2013-05-29,115,75000000,117698894,71.124686,7.3,
Grown Ups,2010-06-24,102,80000000,271430189,38.864027,6,
The Terminal,2004-06-17,128,60000000,219417255,57.753914,7,
Be Cool,2005-03-04,,53000000,95226116,18.61472,5.4,
Tears of the Sun,2003-03-07,121,70000000,85632458,27.055085,6.4,
Killers,2010-06-04,100,75000000,98159963,23.004607,5.7,
Spanglish,2004-12-17,130,80000000,55041367,14.209329,5.8,
Monster House,2006-07-21,91,75000000,140175006,36.368839,6.3,
Bandits,2001-10-12,123,75000000,67631903,24.353302,6.2,
First Knight,1995-07-07,134,55000000,127600435,19.143321,5.9,
Soldier,1998-10-23,99,75000000,14567883,11.873856,6.1,
Carriers,2009-09-04,84,0,5802422,12.708963,5.8,
Minions,2015-06-17,91,74000000,1156730962,875.581305,6.4,
Sucker Punch,2011-03-24,110,82000000,89792502,39.127082,5.9,
Sphere,1998-02-13,134,75000000,13100000,18.65988,5.8,
Fool's Gold,2008-02-07,112,70000000,111231041,21.789615,5.4,
The Kingdom,2007-08-22,110,70000000,86658558,26.123705,6.5,
Dr. Dolittle 2,2001-06-22,87,70000000,176104344,13.543053,4.9,
Braveheart,1995-05-24,177,72000000,210000000,60.722162,7.7,
Jarhead,2005-11-04,125,72000000,96889998,32.227223,6.6,
Driven,2001-04-27,116,94000000,54744738,8.468586,4.5,
Doctor Dolittle,1998-06-22,85,71000000,294456605,21.462935,5.4,
Runaway Bride,1999-07-30,116,70000000,309457509,20.230535,5.7,
The SpongeBob Movie: Sponge Out of Water,2015-02-05,93,74000000,311594032,36.952268,5.8,
Inglourious Basterds,2009-08-18,153,70000000,319131050,72.595961,7.9,
Hook,1991-12-11,144,70000000,300854823,33.648404,6.6,
S.W.A.T.,2003-08-08,117,80000000,116643346,34.052253,5.8,
We Were Soldiers,2002-03-01,138,75000000,114660784,19.708731,6.7,
Olympus Has Fallen,2013-03-20,120,70000000,161025640,59.428223,6.2,
Star Trek: Insurrection,1998-12-10,103,70000000,118000000,19.711951,6.3,
Battle: Los Angeles,2011-03-08,116,70000000,202466756,49.199234,5.5,
Wolf,1994-06-17,125,0,0,13.758526,6,
War Horse,2011-12-25,146,66000000,177584879,29.505574,7,
The Monuments Men,2014-01-24,118,70000000,154984035,43.873266,5.8,
The Abyss,1989-08-09,139,70000000,90000098,24.961625,7.1,
Dracula Untold,2014-10-01,92,70000000,215529201,64.457947,6.2,
Stardust,2007-08-09,127,70000000,135560026,48.032734,7.1,
Seven Years in Tibet,1997-09-12,136,70000000,131457682,16.92991,7,
The Dilemma,2011-01-13,111,70000000,67112664,14.780634,5.2,
Doom,2005-10-20,105,60000000,55987321,29.261348,5,
Hart's War,2002-02-15,125,70000000,32287044,14.244518,5.9,
Killer Elite,2011-09-23,116,66000000,57777106,29.501489,6.1,
Rollerball,2002-02-08,98,0,0,9.306253,3.4,
Ballistic: Ecks vs. Sever,2002-09-20,91,70000000,19924033,8.37378,4.3,
Hard Rain,1998-01-16,97,70000000,19870567,10.930537,5.5,
Basic Instinct 2,2006-03-29,114,70000000,38629478,13.483387,4.6,
The Legend of Hercules,2014-01-10,99,70000000,61279452,25.020428,4.4,
The Sum of All Fears,2002-05-31,124,68000000,193000000,22.392544,5.9,
The Score,2001-07-13,124,68000000,71069884,22.572323,6.7,
Ted 2,2015-06-25,115,68000000,217022588,68.734513,6.2,
Agora,2009-05-17,127,70000000,39041505,18.888806,6.9,
The Finest Hours,2016-01-25,114,80000000,52099090,28.223664,6.3,
Body of Lies,2008-10-10,128,70000000,113280098,37.507136,6.5,
Abraham Lincoln: Vampire Hunter,2012-06-20,94,69000000,112265139,38.634767,5.5,
The Last Legion,2007-04-19,102,67000000,25303038,12.282911,5,
Saving Private Ryan,1998-07-24,169,70000000,481840909,76.041867,7.9,
What Women Want,2000-12-15,127,70000000,374111707,31.39165,6.1,
Dreamcatcher,2003-03-21,136,68000000,75715436,26.792794,5.3,
Lincoln,2012-11-09,149,65000000,275293450,36.307296,6.7,
The Matrix,1999-03-30,136,63000000,463517383,104.309993,7.9,
The Santa Clause 2,2002-10-31,104,65000000,172855065,14.646884,5.5,
Due Date,2010-11-04,95,65000000,211780824,43.865294,6.2,
Unbroken,2014-12-25,137,65000000,163442937,43.055253,7.3,
Space Cowboys,2000-07-31,130,65000000,128884132,15.772081,6.3,
Cliffhanger,1993-05-28,112,70000000,255000211,26.19909,6.1,
Broken Arrow,1996-02-09,108,50000000,150270147,22.769108,5.7,
World Trade Center,2006-08-09,128,63000000,162945894,24.697533,5.9,
The Dictator,2012-05-15,83,65000000,179379533,31.349143,5.9,
Eyes Wide Shut,1999-07-14,159,65000000,162091208,27.870312,7.1,
Focus,2015-02-25,105,50100000,153962963,59.634029,6.7,
This Means War,2012-02-14,103,65000000,156974557,38.994297,5.9,
Resident Evil: Retribution,2012-09-12,95,65000000,240159255,6.227675,5.6,
The Long Kiss Goodnight,1996-10-11,120,65000000,89456761,15.858629,6.5,
Proof of Life,2000-12-08,135,65000000,0,14.866901,6,
Zathura: A Space Adventure,2005-11-06,101,65000000,64321501,15.194239,6.1,
We Are Marshall,2006-12-12,124,65000000,43545364,8.629665,6.7,
"I, Frankenstein",2014-01-22,92,65000000,71154592,31.324734,5,
Random Hearts,1999-10-08,133,64000000,74608570,4.137237,5.3,
Perfume: The Story of a Murderer,2006-09-13,147,50000000,132180323,42.551902,7.1,
Jurassic Park,1993-06-11,,63000000,920100000,40.413191,7.6,
Dragon Blade,2015-02-19,,65000000,121545703,9.568884,5.9,
U-571,2000-04-20,116,62000000,127666415,18.096884,6.1,
The American President,1995-11-17,,62000000,107879496,11.056763,6.5,
3000 Miles to Graceland,2001-02-23,125,62000000,18720175,11.262655,5.8,
The Hateful Eight,2015-12-25,,44000000,155760117,68.717016,7.6,
Blades of Glory,2007-03-30,93,53000000,0,19.412028,5.9,
Meet the Fockers,2004-12-22,115,80000000,516642939,32.829538,6.1,
The Green Mile,1999-12-10,189,60000000,284600000,103.698022,8.2,
Wild Hogs,2007-03-02,100,0,253625427,31.719463,5.6,
Chicken Little,2005-11-04,81,150000000,314432665,47.973995,5.6,
Gone Girl,2014-10-01,145,61000000,369330363,143.041543,7.9,
GoldenEye,1995-11-16,130,58000000,352194034,59.824565,6.6,
The General's Daughter,1999-06-18,116,60000000,149705852,18.345613,6.1,
The Prince of Egypt,1998-12-15,99,70000000,218613188,29.464852,6.8,
Daddy Day Care,2003-05-03,92,60000000,164433867,18.106021,5.6,
2 Guns,2013-08-02,109,61000000,131940411,42.881415,6.6,
Cats & Dogs,2001-07-04,87,60000000,93375151,18.735024,5,
Two Weeks Notice,2002-12-19,101,60000000,93354918,24.153567,5.9,
Couples Retreat,2009-09-19,113,70000000,171844840,26.676487,5.3,
Cheaper by the Dozen 2,2005-12-21,94,60000000,129181830,18.831023,5.7,
Maze Runner: The Scorch Trials,2015-09-09,132,61000000,311256926,113.161483,6.4,
Eat Pray Love,2010-08-12,133,60000000,204594016,28.800112,5.8,
RED,2010-10-13,111,58000000,71664962,41.430245,6.6,
Any Given Sunday,1999-12-16,163,55000000,100230832,23.127561,6.8,
Jack Reacher,2012-12-20,130,60000000,218340595,56.868399,6.3,
This Is It,2009-10-28,111,60000000,0,15.798622,6.7,
Contagion,2011-09-08,106,60000000,137551594,38.820858,6.2,
The Happening,2008-06-11,91,60000000,163403799,20.501582,4.9,
Man on Fire,2004-04-23,146,70000000,130293714,45.299089,7.3,
Hellboy,2004-04-02,122,66000000,99318987,47.479755,6.5,
The Jackal,1997-11-14,124,60000000,159330280,19.747459,6.1,
Paycheck,2003-12-25,119,60000000,96269812,29.018826,5.9,
Under Siege 2: Dark Territory,1995-07-13,100,60000000,104324083,13.080725,5.6,
Joy,2015-12-24,124,60000000,101134059,29.876507,6.4,
Alien: Resurrection,1997-11-12,109,70000000,162000000,37.44963,5.9,
Shooter,2007-03-22,124,61000000,95696996,37.378081,6.9,
Reign of Fire,2002-07-12,101,60000000,43061982,27.615108,6,
Year One,2009-06-18,97,60000000,62357900,25.293538,4.6,
My Favorite Martian,1999-02-11,94,65000000,36850101,6.80692,5.1,
Intolerable Cruelty,2003-09-02,100,60000000,119940815,22.620125,5.8,
Analyze That,2002-12-06,96,60000000,55003135,21.08952,5.7,
The Soloist,2009-04-24,109,60000000,31720158,17.299333,6.6,
Garfield: A Tail of Two Kitties,2006-06-15,78,0,141702264,16.930969,5.1,
